P1,P2,P3,P4,Y1,Y2,Y3,Y4,M1,M2,M3,M4,M5 ,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26
0.974139221,0.03290541,-0.965050095,-1.848811573,0.65299769,-1.12533724,-0.721365372,-0.456565368,1.073675642,-0.485517473,-0.302821791,-0.602373123,1.458479469,-0.295167221,-0.425589598,-0.49315243,-0.277877113,-0.230398361,-0.204896386,0.088782471,0.332124415,-0.19765661,-0.23511864,1.020173225,-0.298338775,1.382273358,0,-0.32098555,-0.285575355,-0.335456958,-0.530396413,-0.527994168,-0.571824047,-0.425463355
-0.59196287,1.569369006,-0.971456193,-2.103595739,0.681040492,-0.594707122,-1.003923866,-0.975219828,0.762485068,-0.360471437,-0.978142042,-0.602525378,1.994804598,-0.38562893,-0.425589598,-1.085247567,0.623842399,-0.230398361,-0.204896386,1.29164251,1.438156698,-0.19765661,-0.217825881,0.795042054,0.189617947,-0.07037736,0,-0.32098555,-0.329269762,-0.324897029,-0.646328587,-0.656150633,-1.049551967,0.497892821
-0.428601777,1.565341579,-1.125695328,-1.788237886,0.720167232,-0.995240075,-0.828324015,0.881773163,0.675424199,-0.656503852,-0.696687621,-0.602525378,4.500441388,-0.450703012,-0.425589598,-1.112848128,0.071182943,-0.230398361,-0.204896386,0.83745021,0.844674764,-0.19765661,-0.136474445,-0.367857086,-0.29234096,0.049689747,0,-0.32098555,-0.337272531,-0.340950964,-0.623611689,-0.631083918,-1.090131293,0.000768002
0.137751036,0.762373219,-0.879306933,-1.47038215,0.699827706,-0.713437371,-0.276282246,-0.192669934,1.636247699,-0.468238462,-0.207814924,-0.602525378,1.535234792,0.130407493,-0.425589598,-1.006406776,0.532147782,-0.230398361,-0.204896386,0.783936265,0.716442683,-0.19765661,-0.23511864,0.85513508,-0.177628763,0.556325164,0,-0.32098555,0.026159053,-0.130833719,-0.491947668,-0.471268344,-1.065506233,0.002391229
-0.513116664,1.171157111,-0.657064601,-0.773472519,0.57589587,-0.676646219,0.2423818,-0.443613297,0.680025191,0.20170159,-1.019699216,-0.602525378,2.140438828,-0.33354597,-0.425589598,-0.656501658,-1.132166907,-0.230398361,-0.204896386,-0.033669551,0.171686013,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,-0.253398075,-0.19789234,-0.40033775,-0.41497712,-0.855203189,-0.802826902
-0.179695126,1.25522966,-1.057692131,-0.672932689,0.342751429,-0.769218491,0.141212825,-1.00857969,-1.011362859,-0.001629793,-0.350125703,-0.584387478,-0.385531089,-0.478472486,-0.425589598,-0.044282369,-0.710272891,2.510037503,2.025436791,-0.052112495,-0.201031624,-0.19765661,-0.23511864,-0.412891188,-0.063441245,-0.459662044,0,-0.32098555,5.026831874,4.895869497,4.828048422,4.839717632,-0.447768681,-0.524267318
-0.675962423,-0.491667023,1.126787379,-1.01888962,0.190457032,-1.065442903,1.135470255,-0.734999734,-0.484624651,0.445198729,-0.930961842,-0.602525378,-0.104743752,-0.438307471,-0.425589598,-1.112469237,-0.684287298,-0.230398361,-0.204896386,0.861333186,0.925744416,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,0.750706815,1.188150345,1.783306199,1.702403172,-0.928927305,-1.052111835
-0.94548246,1.466669605,-0.53288485,-0.791582178,0.450224759,-0.037332165,0.595562849,-1.085603764,0.064497032,-0.827447551,-0.237794403,-0.602525378,1.203605527,0.501348834,-0.425589598,-0.508610844,-0.556104297,-0.230398361,-0.204896386,1.482250358,1.447198501,-0.19765661,-0.23511864,-0.470088307,-0.254294856,-0.445928329,0,-0.32098555,0.172547205,0.246920807,-0.065501628,-0.094158337,-0.382504052,-0.828928155
0.083640895,0.457295585,-0.528942635,-0.594249344,0.316573471,-0.35451882,0.942414181,1.544641714,0.748435685,-0.267200636,-0.972750156,-0.602525378,-0.187575708,0.152249586,-0.425589598,-0.065893889,-1.04913796,-0.230398361,-0.204896386,0.82101886,0.471753685,-0.19765661,-0.23511864,-0.460994976,-0.301079295,-0.459662044,0,-0.32098555,1.200294349,1.149214504,1.457462037,1.470246432,0.18142093,-0.976894158
0.594852897,0.341507044,-0.903945773,0.492954659,0.032804261,-0.428735955,-0.090322065,-0.722111582,0.978193893,0.255147804,-1.05492366,-0.326442465,-0.29353968,-0.46410349,-0.425589598,0.574511604,-1.081358895,-0.230398361,-0.204896386,-0.77576264,-0.797800563,-0.19765661,-0.23511864,-0.428865515,-0.301079295,-0.459662044,0,-0.32098555,-0.142817533,-0.178866148,-0.140035572,-0.15087629,0.52461608,-1.03218702
