P1,P2,P3,P4,Y1,Y2,Y3,Y4,M1,M2,M3,M4,M5 ,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,spontaneity
-0.51930068,1.253719375,-0.731966673,-1.676457578,0.729917421,-0.847404817,-0.833314214,-0.435739248,1.809489709,-0.603755046,0.37454256,-0.602525378,-0.229682113,-0.358908441,-0.424237774,0.252401027,-0.96502449,-0.230398361,-0.204896386,0.623990421,0.471355263,-0.19765661,-0.23511864,-0.094375172,-0.292337808,3.986111203,0,-0.32098555,-0.226569569,-0.406060784,-0.616414336,-0.606677907,0.181521614,-0.872321181,0.3
2.627332874,-1.639483864,-0.908380764,-1.680828875,0.729974216,-0.908666115,-1.102826291,-0.102014038,1.375954058,-0.666759031,2.17054611,-0.602525378,-0.135339843,-0.423427674,-0.413840745,0.202490159,-1.141066661,-0.230398361,-0.204896386,1.363948014,1.064047165,-0.19765661,-0.23511864,-0.468564868,-0.292125818,1.846241665,0,-0.32098555,-0.053851265,-0.290582842,-0.587921929,-0.588502307,0.697813447,-1.136144241,0.2
1.428149074,-0.529424156,-0.848754772,-2.047393349,0.697121672,-1.10029831,-0.574315964,0.284446839,0.904364984,1.324616657,-0.94859322,-0.602525378,2.159603986,-0.174537329,-0.425589598,-0.776693451,-0.509813931,-0.230398361,-0.204896386,0.377683409,0.375795688,-0.19765661,-0.23511864,0.429181344,-0.293769333,0.301659619,0,-0.32098555,-0.010187027,-0.139487692,-0.498990517,-0.498992845,-0.868623631,-0.638885075,0.3
1.655411668,-0.642192126,-0.955687336,-1.713301367,0.660810764,-1.029988792,-0.866455285,0.103423081,1.501100971,0.351082436,-1.090162872,-0.589162393,0.35705575,-0.298284461,-0.425589598,0.120616033,-0.606523025,-0.230398361,-0.204896386,0.496222942,0.352582902,-0.19765661,-0.23511864,-0.383746144,-0.23150833,1.817355431,0,-0.32098555,-0.084635114,-0.189958603,-0.539051967,-0.537036839,0.147759491,-0.43900937,0.1
1.329204816,-0.438807037,-0.842841451,-2.050515704,0.72101013,-0.8561813,-1.325743763,0.209092279,1.467646527,-0.544100187,0.565537462,-0.574790811,1.049281796,-0.237522885,-0.368020731,-0.895172214,-0.435881657,-0.230398361,-0.204896386,0.966531938,0.773997573,-0.19765661,-0.23511864,-0.468846159,-0.293906889,0.963290696,0,-0.32098555,0.132990756,0.000279002,-0.480053791,-0.47053317,-0.900834995,-0.388607398,0.2
1.851754181,-1.459759911,-0.343165786,-0.991412897,0.670868397,-0.543675242,-0.157459451,-0.29514648,1.057247917,-1.054522434,0.91239592,-0.599582649,-0.155927143,-0.459946623,-0.425589598,0.099983379,-0.549046093,-0.230398361,-0.204896386,0.937123502,0.769067089,-0.19765661,-0.23511864,-0.469070144,-0.301079295,3.352003404,0,-0.32098555,-0.313872125,-0.343432517,-0.586146319,-0.581946287,0.433500893,-0.623864341,0.1
1.740957225,-0.999626318,-0.687123985,-2.13544376,0.715980563,-1.251600038,-0.671729375,-0.141867141,0.86741351,-1.118299963,0.417270187,-0.602525378,2.05743904,-0.376503259,-0.425589598,-1.115333507,0.864579512,-0.230398361,-0.204896386,0.35066965,0.620619383,-0.19765661,-0.23511864,1.911542374,-0.122690871,0.882452058,0,-0.32098555,-0.266938884,-0.310354262,-0.545898172,-0.542715865,-1.098436961,0.707228701,0.1
-1.028451344,-0.925118909,-0.576249207,-1.534702662,0.661512178,-1.245841072,-0.564994835,-0.209221052,-0.231751687,-0.585627411,-0.295715075,-0.583297149,1.522661198,-0.130440058,-0.372027425,-1.008761096,0.281463197,-0.230398361,-0.204896386,-0.597332798,-0.341970011,-0.19765661,-0.23511864,0.988650256,-0.300887869,0.002121877,0,-0.306341648,-0.407445816,-0.401329465,-0.518806903,-0.51703447,-0.948009362,-0.074270196,0.2
1.325082138,-0.626082416,-0.655586271,-1.788237886,0.729974216,-0.995191179,-0.327168875,-0.155710188,0.325370923,-1.006528526,0.042617643,-0.602525378,2.227562124,0.034232521,-0.410074904,-1.016900283,-0.432347902,-0.230398361,-0.204896386,-0.217055994,-0.045497083,-0.19765661,-0.23511864,0.117519422,-0.301079295,0.15203998,0,-0.32098555,-0.351268296,-0.382599638,-0.561683368,-0.569115349,-0.938804163,-0.742563961,0.2
2.217126469,-1.08923658,-1.055228247,-1.647731912,0.616477198,-0.731356214,-0.710642862,-0.051578713,0.166481795,-0.935802469,-0.344998094,-0.589288322,2.105237609,-0.243569999,-0.343935967,-0.790582971,-0.624449437,-0.230398361,-0.204896386,0.119702005,0.297857537,-0.19765661,-0.23511864,-0.011562424,-0.300894926,0.505244412,0,-0.32098555,-0.398885488,-0.385344817,-0.525321379,-0.519324274,-0.696797554,-0.662738454,0.2
-0.825924815,1.534632444,-0.713733932,-1.359226313,0.72138725,-1.254311368,-0.650886143,-0.122461221,1.077043081,-0.610725834,-0.85035226,-0.602525378,1.8882566,0.41431424,-0.425589598,-1.045838503,0.678770014,-0.230398361,-0.204896386,-0.268596871,-0.087333784,-0.19765661,-0.23511864,0.805565759,-0.300322004,0.945103379,0,-0.32098555,0.416231556,0.211630356,-0.257050739,-0.225243153,-1.00572674,0.501074675,0
1.695092438,-0.635144128,-1.000037247,-1.780119763,0.571546032,-1.01401284,-0.808456231,-0.135748009,0.715678412,-0.206474246,-0.710516626,-0.568528919,1.686142009,1.511461356,-0.277600932,-0.401309097,-0.100432139,-0.230398361,-0.204896386,-0.213115955,-0.225656766,-0.19765661,-0.23511864,0.703369253,-0.301079295,1.306974136,0,-0.32098555,0.915318896,0.657368274,0.136671067,0.173268508,-0.592499583,-0.000618955,0.3
